Epoch,Loss,VRAM_GB
1,14.014421463012695,0.0801858901977539
2,12.167789459228516,0.08214664459228516
3,9.39565372467041,0.08214664459228516
4,6.2037200927734375,0.08214664459228516
5,3.268568515777588,0.08214664459228516
6,1.0837256908416748,0.08214664459228516
7,0.40679043531417847,0.08214664459228516
8,1.3240679502487183,0.08214664459228516
9,2.037806749343872,0.08214664459228516
10,1.8686003684997559,0.08214664459228516
11,1.2857805490493774,0.08214664459228516
12,0.7390815019607544,0.08214664459228516
13,0.4392615556716919,0.08214664459228516
14,0.3961501121520996,0.08214664459228516
15,0.5102121829986572,0.08214664459228516
16,0.6667436361312866,0.08214664459228516
17,0.7865291237831116,0.08214664459228516
18,0.8320918083190918,0.08214664459228516
19,0.7996298670768738,0.08214664459228516
20,0.7084128260612488,0.08214664459228516
21,0.5906095504760742,0.08214664459228516
22,0.4816412925720215,0.08214664459228516
23,0.40959280729293823,0.08214664459228516
24,0.38728809356689453,0.08214664459228516
25,0.41051071882247925,0.08214664459228516
26,0.46017149090766907,0.08214664459228516
27,0.5097349286079407,0.08214664459228516
28,0.536483883857727,0.08214664459228516
29,0.5307118892669678,0.08214664459228516
30,0.49782198667526245,0.08214664459228516
31,0.45318976044654846,0.08214664459228516
32,0.41378921270370483,0.08214664459228516
33,0.3911650776863098,0.08214664459228516
34,0.3883274495601654,0.08214664459228516
35,0.40065789222717285,0.08214664459228516
36,0.41931357979774475,0.08214664459228516
37,0.43521156907081604,0.08214664459228516
38,0.4421209990978241,0.08214664459228516
39,0.43816325068473816,0.08214664459228516
40,0.42569008469581604,0.08214664459228516
41,0.4097844660282135,0.08214664459228516
42,0.3959835469722748,0.08214664459228516
43,0.3882838189601898,0.08214664459228516
44,0.3879576027393341,0.08214664459228516
45,0.3933528959751129,0.08214664459228516
46,0.40082302689552307,0.08214664459228516
47,0.40643689036369324,0.08214664459228516
48,0.4076770544052124,0.08214664459228516
49,0.40432655811309814,0.08214664459228516
50,0.39820438623428345,0.08214664459228516
51,0.3920295536518097,0.08214664459228516
52,0.3880836069583893,0.08214664459228516
53,0.3873143494129181,0.08214664459228516
54,0.38918590545654297,0.08214664459228516
55,0.3921842575073242,0.08214664459228516
56,0.3946262001991272,0.08214664459228516
57,0.3953828811645508,0.08214664459228516
58,0.39424535632133484,0.08214664459228516
59,0.3918571472167969,0.08214664459228516
60,0.3893078565597534,0.08214664459228516
61,0.38760071992874146,0.08214664459228516
62,0.3872261643409729,0.08214664459228516
63,0.38801276683807373,0.08214664459228516
64,0.3892959952354431,0.08214664459228516
65,0.3902954161167145,0.08214664459228516
66,0.3904993534088135,0.08214664459228516
67,0.389866441488266,0.08214664459228516
68,0.3887695372104645,0.08214664459228516
69,0.38774585723876953,0.08214664459228516
70,0.3872091472148895,0.08214664459228516
71,0.38727107644081116,0.08214664459228516
72,0.38774168491363525,0.08214664459228516
73,0.3882730305194855,0.08214664459228516
74,0.38855400681495667,0.08214664459228516
75,0.38845306634902954,0.08214664459228516
76,0.3880508244037628,0.08214664459228516
77,0.38756561279296875,0.08214664459228516
78,0.3872233033180237,0.08214664459228516
79,0.38714349269866943,0.08214664459228516
80,0.3872956931591034,0.08214664459228516
81,0.38753780722618103,0.08214664459228516
82,0.387707382440567,0.08214664459228516
83,0.3877090513706207,0.08214664459228516
84,0.38755345344543457,0.08214664459228516
85,0.38733386993408203,0.08214664459228516
86,0.38716256618499756,0.08214664459228516
87,0.3871074616909027,0.08214664459228516
88,0.3871639370918274,0.08214664459228516
89,0.387269526720047,0.08214664459228516
90,0.3873474895954132,0.08214664459228516
91,0.3873504102230072,0.08214664459228516
92,0.3872804045677185,0.08214664459228516
93,0.38717976212501526,0.08214664459228516
94,0.3871007561683655,0.08214664459228516
95,0.38707539439201355,0.08214664459228516
96,0.38710081577301025,0.08214664459228516
97,0.38714689016342163,0.08214664459228516
98,0.3871772587299347,0.08214664459228516
99,0.38717132806777954,0.08214664459228516
100,0.3871331512928009,0.08214664459228516
101,0.3870847523212433,0.08214664459228516
102,0.38705047965049744,0.08214664459228516
103,0.3870426416397095,0.08214664459228516
104,0.38705599308013916,0.08214664459228516
105,0.3870743215084076,0.08214664459228516
106,0.38708147406578064,0.08214664459228516
107,0.38707098364830017,0.08214664459228516
108,0.3870479166507721,0.08214664459228516
109,0.3870241641998291,0.08214664459228516
110,0.38701003789901733,0.08214664459228516
111,0.38700827956199646,0.08214664459228516
112,0.3870139420032501,0.08214664459228516
113,0.38701850175857544,0.08214664459228516
114,0.38701561093330383,0.08214664459228516
115,0.3870047628879547,0.08214664459228516
116,0.3869904577732086,0.08214664459228516
117,0.3869785964488983,0.08214664459228516
118,0.38697248697280884,0.08214664459228516
119,0.3869714140892029,0.08214664459228516
120,0.386971652507782,0.08214664459228516
121,0.38696929812431335,0.08214664459228516
122,0.386962890625,0.08214664459228516
123,0.3869537115097046,0.08214664459228516
124,0.38694459199905396,0.08214664459228516
125,0.3869380056858063,0.08214664459228516
126,0.38693416118621826,0.08214664459228516
127,0.38693150877952576,0.08214664459228516
128,0.38692814111709595,0.08214664459228516
129,0.3869228661060333,0.08214664459228516
130,0.386915922164917,0.08214664459228516
131,0.3869085907936096,0.08214664459228516
132,0.3869023025035858,0.08214664459228516
133,0.38689735531806946,0.08214664459228516
134,0.38689327239990234,0.08214664459228516
135,0.38688889145851135,0.08214664459228516
136,0.3868836760520935,0.08214664459228516
137,0.3868775963783264,0.08214664459228516
138,0.3868711292743683,0.08214664459228516
139,0.3868650496006012,0.08214664459228516
140,0.3868596851825714,0.08214664459228516
141,0.38685473799705505,0.08214664459228516
142,0.38684970140457153,0.08214664459228516
143,0.3868442475795746,0.08214664459228516
144,0.38683828711509705,0.08214664459228516
145,0.38683217763900757,0.08214664459228516
146,0.38682618737220764,0.08214664459228516
147,0.38682055473327637,0.08214664459228516
148,0.3868151307106018,0.08214664459228516
149,0.3868096172809601,0.08214664459228516
150,0.38680383563041687,0.08214664459228516
