Timestamp,Run_Type,Epoch,Training_Loss,Peak_VRAM_GB,Epoch_Time_Sec
2026-03-19 11:24:57,Micro_Only,1,0.424345,0.0100,0.19
2026-03-19 11:24:57,Micro_Only,2,0.411907,0.0100,0.13
2026-03-19 11:24:57,Micro_Only,3,0.387624,0.0100,0.12
2026-03-19 11:24:57,Micro_Only,4,0.314221,0.0100,0.14
2026-03-19 11:24:57,Micro_Only,5,0.343364,0.0100,0.12
2026-03-19 11:24:57,Micro_Only,6,0.222986,0.0100,0.12
2026-03-19 11:24:58,Micro_Only,7,0.208562,0.0100,0.12
2026-03-19 11:24:58,Micro_Only,8,0.172915,0.0100,0.11
2026-03-19 11:24:58,Micro_Only,9,0.171512,0.0100,0.12
2026-03-19 11:24:58,Micro_Only,10,0.146497,0.0100,0.13
2026-03-19 11:24:58,Micro_Only,11,0.127009,0.0100,0.11
2026-03-19 11:24:58,Micro_Only,12,0.130041,0.0100,0.12
2026-03-19 11:24:58,Micro_Only,13,0.128873,0.0100,0.11
2026-03-19 11:24:58,Micro_Only,14,0.121218,0.0100,0.13
2026-03-19 11:24:59,Micro_Only,15,0.114222,0.0100,0.11
2026-03-19 11:24:59,Micro_Only,16,0.109607,0.0100,0.19
2026-03-19 11:24:59,Micro_Only,17,0.105702,0.0100,0.11
2026-03-19 11:24:59,Micro_Only,18,0.103587,0.0100,0.11
2026-03-19 11:24:59,Micro_Only,19,0.101899,0.0100,0.12
2026-03-19 11:24:59,Micro_Only,20,0.097109,0.0100,0.13
2026-03-19 11:24:59,Micro_Only,21,0.090509,0.0100,0.11
2026-03-19 11:24:59,Micro_Only,22,0.087603,0.0100,0.13
2026-03-19 11:25:00,Micro_Only,23,0.089608,0.0100,0.15
2026-03-19 11:25:00,Micro_Only,24,0.090410,0.0100,0.11
2026-03-19 11:25:00,Micro_Only,25,0.086688,0.0100,0.11
2026-03-19 11:25:00,Micro_Only,26,0.082044,0.0100,0.12
2026-03-19 11:25:00,Micro_Only,27,0.081352,0.0100,0.11
2026-03-19 11:25:00,Micro_Only,28,0.083826,0.0100,0.12
2026-03-19 11:25:00,Micro_Only,29,0.084076,0.0100,0.14
2026-03-19 11:25:00,Micro_Only,30,0.080924,0.0100,0.13
2026-03-19 11:25:01,Micro_Only,31,0.078788,0.0100,0.12
2026-03-19 11:25:01,Micro_Only,32,0.080160,0.0100,0.11
2026-03-19 11:25:01,Micro_Only,33,0.081207,0.0100,0.12
2026-03-19 11:25:01,Micro_Only,34,0.079364,0.0100,0.12
2026-03-19 11:25:01,Micro_Only,35,0.077715,0.0100,0.11
2026-03-19 11:25:01,Micro_Only,36,0.078364,0.0100,0.12
2026-03-19 11:25:01,Micro_Only,37,0.079240,0.0100,0.11
2026-03-19 11:25:01,Micro_Only,38,0.078458,0.0100,0.12
2026-03-19 11:25:02,Micro_Only,39,0.077281,0.0100,0.14
2026-03-19 11:25:02,Micro_Only,40,0.077410,0.0100,0.12
2026-03-19 11:25:02,Micro_Only,41,0.078171,0.0100,0.12
2026-03-19 11:25:02,Micro_Only,42,0.078042,0.0100,0.12
2026-03-19 11:25:02,Micro_Only,43,0.077277,0.0100,0.12
2026-03-19 11:25:02,Micro_Only,44,0.077024,0.0100,0.13
2026-03-19 11:25:02,Micro_Only,45,0.077373,0.0100,0.11
2026-03-19 11:25:02,Micro_Only,46,0.077480,0.0100,0.12
2026-03-19 11:25:03,Micro_Only,47,0.077007,0.0100,0.11
2026-03-19 11:25:03,Micro_Only,48,0.076604,0.0100,0.12
2026-03-19 11:25:03,Micro_Only,49,0.076732,0.0100,0.13
2026-03-19 11:25:03,Micro_Only,50,0.076877,0.0100,0.12
2026-03-19 11:25:04,Macro_Only,1,0.420209,0.0100,0.16
2026-03-19 11:25:05,Macro_Only,2,0.388186,0.0100,0.12
2026-03-19 11:25:05,Macro_Only,3,0.344849,0.0100,0.12
2026-03-19 11:25:05,Macro_Only,4,0.275122,0.0100,0.11
2026-03-19 11:25:05,Macro_Only,5,0.239654,0.0100,0.12
2026-03-19 11:25:05,Macro_Only,6,0.236857,0.0100,0.12
2026-03-19 11:25:05,Macro_Only,7,0.205646,0.0100,0.11
2026-03-19 11:25:05,Macro_Only,8,0.197270,0.0100,0.12
2026-03-19 11:25:05,Macro_Only,9,0.201907,0.0100,0.11
2026-03-19 11:25:05,Macro_Only,10,0.199138,0.0100,0.12
2026-03-19 11:25:06,Macro_Only,11,0.186802,0.0100,0.12
2026-03-19 11:25:06,Macro_Only,12,0.179541,0.0100,0.12
2026-03-19 11:25:06,Macro_Only,13,0.182581,0.0100,0.12
2026-03-19 11:25:06,Macro_Only,14,0.186721,0.0100,0.11
2026-03-19 11:25:06,Macro_Only,15,0.185145,0.0100,0.11
2026-03-19 11:25:06,Macro_Only,16,0.182329,0.0100,0.11
2026-03-19 11:25:06,Macro_Only,17,0.181747,0.0100,0.12
2026-03-19 11:25:06,Macro_Only,18,0.180455,0.0100,0.11
2026-03-19 11:25:06,Macro_Only,19,0.178400,0.0100,0.11
2026-03-19 11:25:07,Macro_Only,20,0.178090,0.0100,0.11
2026-03-19 11:25:07,Macro_Only,21,0.179174,0.0100,0.12
2026-03-19 11:25:07,Macro_Only,22,0.179436,0.0100,0.13
2026-03-19 11:25:07,Macro_Only,23,0.178126,0.0100,0.11
2026-03-19 11:25:07,Macro_Only,24,0.176423,0.0100,0.12
2026-03-19 11:25:07,Macro_Only,25,0.175642,0.0100,0.11
2026-03-19 11:25:07,Macro_Only,26,0.175710,0.0100,0.12
2026-03-19 11:25:07,Macro_Only,27,0.175800,0.0100,0.11
2026-03-19 11:25:08,Macro_Only,28,0.175833,0.0100,0.11
2026-03-19 11:25:08,Macro_Only,29,0.176139,0.0100,0.11
2026-03-19 11:25:08,Macro_Only,30,0.176256,0.0100,0.11
2026-03-19 11:25:08,Macro_Only,31,0.175591,0.0100,0.12
2026-03-19 11:25:08,Macro_Only,32,0.174666,0.0100,0.12
2026-03-19 11:25:08,Macro_Only,33,0.174384,0.0100,0.12
2026-03-19 11:25:08,Macro_Only,34,0.174612,0.0100,0.12
2026-03-19 11:25:08,Macro_Only,35,0.174594,0.0100,0.11
2026-03-19 11:25:08,Macro_Only,36,0.174278,0.0100,0.13
2026-03-19 11:25:09,Macro_Only,37,0.174035,0.0100,0.11
2026-03-19 11:25:09,Macro_Only,38,0.173748,0.0100,0.12
2026-03-19 11:25:09,Macro_Only,39,0.173314,0.0100,0.11
2026-03-19 11:25:09,Macro_Only,40,0.173153,0.0100,0.12
2026-03-19 11:25:09,Macro_Only,41,0.173328,0.0100,0.13
2026-03-19 11:25:09,Macro_Only,42,0.173265,0.0100,0.12
2026-03-19 11:25:09,Macro_Only,43,0.172923,0.0100,0.12
2026-03-19 11:25:09,Macro_Only,44,0.172687,0.0100,0.11
2026-03-19 11:25:10,Macro_Only,45,0.172420,0.0100,0.12
2026-03-19 11:25:10,Macro_Only,46,0.172121,0.0100,0.12
2026-03-19 11:25:10,Macro_Only,47,0.172037,0.0100,0.11
2026-03-19 11:25:10,Macro_Only,48,0.171768,0.0100,0.13
2026-03-19 11:25:10,Macro_Only,49,0.171242,0.0100,0.11
2026-03-19 11:25:10,Macro_Only,50,0.170896,0.0100,0.12
2026-03-19 11:25:12,Dual_Stream,1,0.477326,0.0100,0.28
2026-03-19 11:25:12,Dual_Stream,2,0.402753,0.0100,0.24
2026-03-19 11:25:12,Dual_Stream,3,0.344613,0.0100,0.27
2026-03-19 11:25:12,Dual_Stream,4,0.283456,0.0100,0.24
2026-03-19 11:25:13,Dual_Stream,5,0.199589,0.0100,0.23
2026-03-19 11:25:13,Dual_Stream,6,0.168534,0.0100,0.24
2026-03-19 11:25:13,Dual_Stream,7,0.146088,0.0100,0.23
2026-03-19 11:25:13,Dual_Stream,8,0.152876,0.0100,0.24
2026-03-19 11:25:13,Dual_Stream,9,0.115672,0.0100,0.23
2026-03-19 11:25:14,Dual_Stream,10,0.117573,0.0100,0.22
2026-03-19 11:25:14,Dual_Stream,11,0.111168,0.0100,0.24
2026-03-19 11:25:14,Dual_Stream,12,0.096783,0.0100,0.23
2026-03-19 11:25:14,Dual_Stream,13,0.093216,0.0100,0.24
2026-03-19 11:25:15,Dual_Stream,14,0.093096,0.0100,0.23
2026-03-19 11:25:15,Dual_Stream,15,0.084799,0.0100,0.23
2026-03-19 11:25:15,Dual_Stream,16,0.080178,0.0100,0.24
2026-03-19 11:25:15,Dual_Stream,17,0.079676,0.0100,0.24
2026-03-19 11:25:16,Dual_Stream,18,0.080798,0.0100,0.24
2026-03-19 11:25:16,Dual_Stream,19,0.075709,0.0100,0.23
2026-03-19 11:25:16,Dual_Stream,20,0.072744,0.0100,0.23
2026-03-19 11:25:16,Dual_Stream,21,0.074137,0.0100,0.25
2026-03-19 11:25:17,Dual_Stream,22,0.067198,0.0100,0.22
2026-03-19 11:25:17,Dual_Stream,23,0.061775,0.0100,0.23
2026-03-19 11:25:17,Dual_Stream,24,0.061789,0.0100,0.23
2026-03-19 11:25:17,Dual_Stream,25,0.059290,0.0100,0.23
2026-03-19 11:25:17,Dual_Stream,26,0.061040,0.0100,0.23
2026-03-19 11:25:18,Dual_Stream,27,0.067119,0.0100,0.24
2026-03-19 11:25:18,Dual_Stream,28,0.058589,0.0100,0.23
2026-03-19 11:25:18,Dual_Stream,29,0.062204,0.0100,0.23
2026-03-19 11:25:18,Dual_Stream,30,0.064075,0.0100,0.22
2026-03-19 11:25:19,Dual_Stream,31,0.054471,0.0100,0.28
2026-03-19 11:25:19,Dual_Stream,32,0.061346,0.0100,0.25
2026-03-19 11:25:19,Dual_Stream,33,0.050757,0.0100,0.23
2026-03-19 11:25:19,Dual_Stream,34,0.056983,0.0100,0.25
2026-03-19 11:25:20,Dual_Stream,35,0.052964,0.0100,0.25
2026-03-19 11:25:20,Dual_Stream,36,0.051628,0.0100,0.25
2026-03-19 11:25:20,Dual_Stream,37,0.051871,0.0100,0.24
2026-03-19 11:25:20,Dual_Stream,38,0.052277,0.0100,0.24
2026-03-19 11:25:21,Dual_Stream,39,0.050291,0.0100,0.23
2026-03-19 11:25:21,Dual_Stream,40,0.048979,0.0100,0.23
2026-03-19 11:25:21,Dual_Stream,41,0.050947,0.0100,0.24
2026-03-19 11:25:21,Dual_Stream,42,0.048361,0.0100,0.23
2026-03-19 11:25:22,Dual_Stream,43,0.048040,0.0100,0.23
2026-03-19 11:25:22,Dual_Stream,44,0.049315,0.0100,0.24
2026-03-19 11:25:22,Dual_Stream,45,0.047630,0.0100,0.23
2026-03-19 11:25:22,Dual_Stream,46,0.048006,0.0100,0.29
2026-03-19 11:25:23,Dual_Stream,47,0.049407,0.0100,0.23
2026-03-19 11:25:23,Dual_Stream,48,0.046949,0.0100,0.23
2026-03-19 11:25:23,Dual_Stream,49,0.046748,0.0100,0.23
2026-03-19 11:25:23,Dual_Stream,50,0.048152,0.0100,0.23
2026-03-19 11:31:32,Micro_Only,1,0.711559,0.0100,0.20
2026-03-19 11:31:32,Micro_Only,2,0.698203,0.0100,0.15
2026-03-19 11:31:32,Micro_Only,3,0.650662,0.0100,0.15
2026-03-19 11:31:32,Micro_Only,4,0.533519,0.0100,0.15
2026-03-19 11:31:33,Micro_Only,5,0.355554,0.0100,0.15
2026-03-19 11:31:33,Micro_Only,6,0.358045,0.0100,0.13
2026-03-19 11:31:33,Micro_Only,7,0.184048,0.0100,0.13
2026-03-19 11:31:33,Micro_Only,8,0.250829,0.0100,0.13
2026-03-19 11:31:33,Micro_Only,9,0.209752,0.0100,0.13
2026-03-19 11:31:33,Micro_Only,10,0.150290,0.0100,0.14
2026-03-19 11:31:33,Micro_Only,11,0.124863,0.0100,0.13
2026-03-19 11:31:33,Micro_Only,12,0.124147,0.0100,0.13
2026-03-19 11:31:34,Micro_Only,13,0.123897,0.0100,0.14
2026-03-19 11:31:34,Micro_Only,14,0.098079,0.0100,0.13
2026-03-19 11:31:34,Micro_Only,15,0.070824,0.0100,0.12
2026-03-19 11:31:34,Micro_Only,16,0.070044,0.0100,0.14
2026-03-19 11:31:34,Micro_Only,17,0.073270,0.0100,0.12
2026-03-19 11:31:34,Micro_Only,18,0.056071,0.0100,0.13
2026-03-19 11:31:34,Micro_Only,19,0.048421,0.0100,0.14
2026-03-19 11:31:34,Micro_Only,20,0.050480,0.0100,0.13
2026-03-19 11:31:35,Micro_Only,21,0.047876,0.0100,0.13
2026-03-19 11:31:35,Micro_Only,22,0.047438,0.0100,0.13
2026-03-19 11:31:35,Micro_Only,23,0.046015,0.0100,0.15
2026-03-19 11:31:35,Micro_Only,24,0.041692,0.0100,0.13
2026-03-19 11:31:35,Micro_Only,25,0.046090,0.0100,0.14
2026-03-19 11:31:35,Micro_Only,26,0.047710,0.0100,0.12
2026-03-19 11:31:35,Micro_Only,27,0.042149,0.0100,0.13
2026-03-19 11:31:36,Micro_Only,28,0.041529,0.0100,0.13
2026-03-19 11:31:36,Micro_Only,29,0.044012,0.0100,0.13
2026-03-19 11:31:36,Micro_Only,30,0.042743,0.0100,0.13
2026-03-19 11:31:36,Micro_Only,31,0.041288,0.0100,0.20
2026-03-19 11:31:36,Micro_Only,32,0.041112,0.0100,0.14
2026-03-19 11:31:36,Micro_Only,33,0.040994,0.0100,0.13
2026-03-19 11:31:36,Micro_Only,34,0.041385,0.0100,0.14
2026-03-19 11:31:37,Micro_Only,35,0.041452,0.0100,0.16
2026-03-19 11:31:37,Micro_Only,36,0.039799,0.0100,0.15
2026-03-19 11:31:37,Micro_Only,37,0.039364,0.0100,0.15
2026-03-19 11:31:37,Micro_Only,38,0.040641,0.0100,0.15
2026-03-19 11:31:37,Micro_Only,39,0.040244,0.0100,0.14
